date,date_viz
9/30/19,28-Sep
1/1/20,1-Jan
1/2/20,2-Jan
1/3/20,3-Jan
1/4/20,4-Jan
1/5/20,5-Jan
1/6/20,6-Jan
1/7/20,7-Jan
1/8/20,8-Jan
1/9/20,9-Jan
1/10/20,10-Jan
1/11/20,11-Jan
1/12/20,12-Jan
1/13/20,13-Jan
1/14/20,14-Jan
1/15/20,15-Jan
1/16/20,16-Jan
1/17/20,17-Jan
1/18/20,18-Jan
1/19/20,19-Jan
1/20/20,20-Jan
1/21/20,21-Jan
1/22/20,22-Jan
1/23/20,23-Jan
1/24/20,24-Jan
1/25/20,25-Jan
1/26/20,26-Jan
1/27/20,27-Jan
1/28/20,28-Jan
1/29/20,29-Jan
1/30/20,30-Jan
1/31/20,31-Jan
2/1/20,1-Feb
2/2/20,2-Feb
2/3/20,3-Feb
2/4/20,4-Feb
2/5/20,5-Feb
2/6/20,6-Feb
2/7/20,7-Feb
2/8/20,8-Feb
2/9/20,9-Feb
2/10/20,10-Feb
2/11/20,11-Feb
2/12/20,12-Feb
2/13/20,13-Feb
2/14/20,14-Feb
2/15/20,15-Feb
2/16/20,16-Feb
2/17/20,17-Feb
2/18/20,18-Feb
2/19/20,19-Feb
2/20/20,20-Feb
2/21/20,21-Feb
2/22/20,22-Feb
2/23/20,23-Feb
2/24/20,24-Feb
2/25/20,25-Feb
2/26/20,26-Feb
2/27/20,27-Feb
2/28/20,28-Feb
2/29/20,29-Feb
3/1/20,1-Mar
3/2/20,2-Mar
3/3/20,3-Mar
3/4/20,4-Mar
3/5/20,5-Mar
3/6/20,6-Mar
3/7/20,7-Mar
3/8/20,8-Mar
3/9/20,9-Mar
3/10/20,10-Mar
3/11/20,11-Mar
3/12/20,12-Mar
3/13/20,13-Mar
3/14/20,14-Mar
3/15/20,15-Mar
3/16/20,16-Mar
3/17/20,17-Mar
3/18/20,18-Mar
3/19/20,19-Mar
3/20/20,20-Mar
3/21/20,21-Mar
3/22/20,22-Mar
3/23/20,23-Mar
3/24/20,24-Mar
3/25/20,25-Mar
3/26/20,26-Mar
3/27/20,27-Mar
3/28/20,28-Mar
3/29/20,29-Mar
3/30/20,30-Mar
3/31/20,31-Mar
4/1/20,1-Apr
4/2/20,2-Apr
4/3/20,3-Apr
4/4/20,4-Apr
4/5/20,5-Apr
4/6/20,6-Apr
4/7/20,7-Apr
4/8/20,8-Apr
4/9/20,9-Apr
4/10/20,10-Apr
4/11/20,11-Apr
4/12/20,12-Apr
4/13/20,13-Apr
4/14/20,14-Apr
4/15/20,15-Apr
4/16/20,16-Apr
4/17/20,17-Apr
4/18/20,18-Apr
4/19/20,19-Apr
4/20/20,20-Apr
4/21/20,21-Apr
4/22/20,22-Apr
4/23/20,23-Apr
4/24/20,24-Apr
4/25/20,25-Apr
4/26/20,26-Apr
4/27/20,27-Apr
4/28/20,28-Apr
4/29/20,29-Apr
4/30/20,30-Apr
5/1/20,1-May
5/2/20,2-May
5/3/20,3-May
5/4/20,4-May
5/5/20,5-May
5/6/20,6-May
5/7/20,7-May
5/8/20,8-May
5/9/20,9-May
5/10/20,10-May
5/11/20,11-May
5/12/20,12-May
5/13/20,13-May
5/14/20,14-May
5/15/20,15-May
5/16/20,16-May
5/17/20,17-May
5/18/20,18-May
5/19/20,19-May
5/20/20,20-May
5/21/20,21-May
5/22/20,22-May
5/23/20,23-May
5/24/20,24-May
5/25/20,25-May
5/26/20,26-May
5/27/20,27-May
5/28/20,28-May
5/29/20,29-May
5/30/20,30-May
5/31/20,31-May
6/1/20,1-Jun
6/2/20,2-Jun
6/3/20,3-Jun
6/4/20,4-Jun
6/5/20,5-Jun
6/6/20,6-Jun
6/7/20,7-Jun
6/8/20,8-Jun
6/9/20,9-Jun
6/10/20,10-Jun
6/11/20,11-Jun
6/12/20,12-Jun
6/13/20,13-Jun
6/14/20,14-Jun
6/15/20,15-Jun
6/16/20,16-Jun
6/17/20,17-Jun
6/18/20,18-Jun
6/19/20,19-Jun
6/20/20,20-Jun
6/21/20,21-Jun
6/22/20,22-Jun
6/23/20,23-Jun
6/24/20,24-Jun
6/25/20,25-Jun
6/26/20,26-Jun
6/27/20,27-Jun
6/28/20,28-Jun
6/29/20,29-Jun
6/30/20,30-Jun
7/1/20,1-Jul
7/2/20,2-Jul
7/3/20,3-Jul
7/4/20,4-Jul
7/5/20,5-Jul
7/6/20,6-Jul
7/7/20,7-Jul
7/8/20,8-Jul
7/9/20,9-Jul
7/10/20,10-Jul
7/11/20,11-Jul
7/12/20,12-Jul
7/13/20,13-Jul
7/14/20,14-Jul
7/15/20,15-Jul
7/16/20,16-Jul
7/17/20,17-Jul
7/18/20,18-Jul
7/19/20,19-Jul
7/20/20,20-Jul
7/21/20,21-Jul
7/22/20,22-Jul
7/23/20,23-Jul
7/24/20,24-Jul
7/25/20,25-Jul
7/26/20,26-Jul
7/27/20,27-Jul
7/28/20,28-Jul
7/29/20,29-Jul
7/30/20,30-Jul
7/31/20,31-Jul
8/1/20,1-Aug
8/2/20,2-Aug
8/3/20,3-Aug
8/4/20,4-Aug
8/5/20,5-Aug
8/6/20,6-Aug
8/7/20,7-Aug
8/8/20,8-Aug
8/9/20,9-Aug
8/10/20,10-Aug
8/11/20,11-Aug
8/12/20,12-Aug
8/13/20,13-Aug
8/14/20,14-Aug
8/15/20,15-Aug
8/16/20,16-Aug
8/17/20,17-Aug
8/18/20,18-Aug
8/19/20,19-Aug
8/20/20,20-Aug
8/21/20,21-Aug
8/22/20,22-Aug
8/23/20,23-Aug
8/24/20,24-Aug
8/25/20,25-Aug
8/26/20,26-Aug
8/27/20,27-Aug
8/28/20,28-Aug
8/29/20,29-Aug
8/30/20,30-Aug
8/31/20,31-Aug
9/1/20,1-Sep
9/2/20,2-Sep
9/3/20,3-Sep
9/4/20,4-Sep
9/5/20,5-Sep
9/6/20,6-Sep
9/7/20,7-Sep
9/8/20,8-Sep
9/9/20,9-Sep
9/10/20,10-Sep
9/11/20,11-Sep
9/12/20,12-Sep
9/13/20,13-Sep
9/14/20,14-Sep
9/15/20,15-Sep
9/16/20,16-Sep
9/17/20,17-Sep
9/18/20,18-Sep
9/19/20,19-Sep
9/20/20,20-Sep
9/21/20,21-Sep
9/22/20,22-Sep
9/23/20,23-Sep
9/24/20,24-Sep
9/25/20,25-Sep
9/26/20,26-Sep
9/27/20,27-Sep
9/28/20,28-Sep
,
,
