date,date_viz
2/17/20,02/17
2/18/20,02/18
2/19/20,02/19
2/20/20,02/20
2/21/20,02/21
2/22/20,02/22
2/23/20,02/23
2/24/20,02/24
2/25/20,02/25
2/26/20,02/26
2/27/20,02/27
2/28/20,02/28
2/29/20,02/29
3/1/20,03/01
3/2/20,03/02
3/3/20,03/03
3/4/20,03/04
3/5/20,03/05
3/6/20,03/06
3/7/20,03/07
3/8/20,03/08
3/9/20,03/09
3/10/20,03/10
3/11/20,03/11
3/12/20,03/12
3/13/20,03/13
3/14/20,03/14
3/15/20,03/15
3/16/20,03/16
3/17/20,03/17
3/18/20,03/18
3/19/20,03/19
3/20/20,03/20
3/21/20,03/21
3/22/20,03/22
3/23/20,03/23
3/24/20,03/24
3/25/20,03/25
3/26/20,03/26
3/27/20,03/27
3/28/20,03/28
3/29/20,03/29
3/30/20,03/30
3/31/20,03/31
4/1/20,04/01
4/2/20,04/02
4/3/20,04/03
4/4/20,04/04
4/5/20,04/05
4/6/20,04/06
4/7/20,04/07
4/8/20,04/08
4/9/20,04/09
4/10/20,04/10
4/11/20,04/11
4/12/20,04/12
4/13/20,04/13
4/14/20,04/14
4/15/20,04/15
4/16/20,04/16
4/17/20,04/17
4/18/20,04/18
4/19/20,04/19
4/20/20,04/20
4/21/20,04/21
4/22/20,04/22
4/23/20,04/23
4/24/20,04/24
4/25/20,04/25
4/26/20,04/26
4/27/20,04/27
4/28/20,04/28
4/29/20,04/29
4/30/20,04/30
5/1/20,05/01
5/2/20,05/02
5/3/20,05/03
5/4/20,05/04
5/5/20,05/05
5/6/20,05/06
5/7/20,05/07
5/8/20,05/08
5/9/20,05/09
5/10/20,05/10
5/11/20,05/11
5/12/20,05/12
5/13/20,05/13
5/14/20,05/14
5/15/20,05/15
5/16/20,05/16
5/17/20,05/17
5/18/20,05/18
5/19/20,05/19
5/20/20,05/20
5/21/20,05/21
5/22/20,05/22
5/23/20,05/23
5/24/20,05/24
5/25/20,05/25
5/26/20,05/26
5/27/20,05/27
5/28/20,05/28
5/29/20,05/29
5/30/20,05/30
5/31/20,05/31
6/1/20,06/01
6/2/20,06/02
6/3/20,06/03
6/4/20,06/04
6/5/20,06/05
6/6/20,06/06
6/7/20,06/07
6/8/20,06/08
6/9/20,06/09
6/10/20,06/10
6/11/20,06/11
6/12/20,06/12
6/13/20,06/13
6/14/20,06/14
6/15/20,06/15
6/16/20,06/16
6/17/20,06/17
6/18/20,06/18
6/19/20,06/19
6/20/20,06/20
6/21/20,06/21
6/22/20,06/22
6/23/20,06/23
6/24/20,06/24
6/25/20,06/25
6/26/20,06/26
6/27/20,06/27
6/28/20,06/28
6/29/20,06/29
6/30/20,06/30
7/1/20,07/01
7/2/20,07/02
7/3/20,07/03
7/4/20,07/04
7/5/20,07/05
7/6/20,07/06
7/7/20,07/07
7/8/20,07/08
7/9/20,07/09
7/10/20,07/10
7/11/20,07/11
7/12/20,07/12
7/13/20,07/13
7/14/20,07/14
7/15/20,07/15
7/16/20,07/16
7/17/20,07/17
7/18/20,07/18
7/19/20,07/19
7/20/20,07/20
7/21/20,07/21
7/22/20,07/22
7/23/20,07/23
7/24/20,07/24
7/25/20,07/25
7/26/20,07/26
7/27/20,07/27
7/28/20,07/28
7/29/20,07/29
7/30/20,07/30
7/31/20,07/31
8/1/20,08/01
8/2/20,08/02
8/3/20,08/03
8/4/20,08/04
8/5/20,08/05
8/6/20,08/06
8/7/20,08/07
8/8/20,08/08
8/9/20,08/09
8/10/20,08/10
8/11/20,08/11
8/12/20,08/12
8/13/20,08/13
8/14/20,08/14
8/15/20,08/15
8/16/20,08/16
8/17/20,08/17
8/18/20,08/18
8/19/20,08/19
8/20/20,08/20
8/21/20,08/21
8/22/20,08/22
8/23/20,08/23
8/24/20,08/24
8/25/20,08/25
8/26/20,08/26
8/27/20,08/27
8/28/20,08/28
8/29/20,08/29
8/30/20,08/30
8/31/20,08/31
9/1/20,09/01
9/2/20,09/02
9/3/20,09/03
9/4/20,09/04
9/5/20,09/05
9/6/20,09/06
9/7/20,09/07
9/8/20,09/08
9/9/20,09/09
9/10/20,09/10
9/11/20,09/11
9/12/20,09/12
9/13/20,09/13
9/14/20,09/14
9/15/20,09/15
9/16/20,09/16
9/17/20,09/17
9/18/20,09/18
9/19/20,09/19
9/20/20,09/20
9/21/20,09/21
9/22/20,09/22
9/23/20,09/23
9/24/20,09/24
9/25/20,09/25
9/26/20,09/26
9/27/20,09/27
9/28/20,09/28
