BoroName,week,value,pop_away
Bronx,09,0.01190693445238095,17026.451896461116
Bronx,10,0.01540690340079365,22031.270993902286
Bronx,11,0.02464937888095237,35247.65047398553
Bronx,12,0.03984051447619049,56970.38192088783
Bronx,13,0.03389622572619047,48470.28083564905
Bronx,14,0.03162160732142857,45217.66522695732
Bronx,15,0.03645995646825396,52136.3158113009
Bronx,16,0.03478553828174604,49741.96310690385
Bronx,17,0.029916019007936494,42778.74045660788
Bronx,18,0.020547665321428567,29382.360050695315
Bronx,19,0.022510469765873016,32189.093856877545
Bronx,20,0.023377093761904756,33428.33237286709
Bronx,21,0.024127247749999987,34501.02331983773
Brooklyn,09,0.011872083705714293,30871.15734122446
Brooklyn,10,0.01501329335142857,39039.291901119985
Brooklyn,11,0.027356251845714295,71134.87201818857
Brooklyn,12,0.047992314017142906,124795.13402348696
Brooklyn,13,0.04356666491714285,113287.05228402032
Brooklyn,14,0.0428244205342857,111356.98308161112
Brooklyn,15,0.04728662505714285,122960.12043546441
Brooklyn,16,0.04614799612285713,119999.32653820724
Brooklyn,17,0.038010184711428585,98838.45345789842
Brooklyn,18,0.022035013094285717,57297.97507426757
Brooklyn,19,0.02374706307142857,61749.844310581786
Brooklyn,20,0.025220758514285704,65581.91667607483
Brooklyn,21,0.02826888815142858,73508.01389348201
Manhattan,09,0.014897161688775511,24291.237363908906
Manhattan,10,0.02408037302551018,39265.33585353177
Manhattan,11,0.061876490755102015,100895.49644281557
Manhattan,12,0.11771463185714287,191944.89013309788
Manhattan,13,0.10602775270408166,172888.32342051202
Manhattan,14,0.09882791180102041,161148.29884318486
Manhattan,15,0.10633697935204084,173392.54684654102
Manhattan,16,0.1021637474744898,166587.6958131657
Manhattan,17,0.07868537020408166,128303.97122792453
Manhattan,18,0.027664878357142854,45110.21232476535
Manhattan,19,0.03083226221428571,50274.932605303205
Manhattan,20,0.032022671280612244,52216.007676809924
Manhattan,21,0.034648207505102065,56497.1939167819
Queens,09,0.011521518484693878,26480.528095370115
Queens,10,0.013476022497448982,30972.670211101857
Queens,11,0.020913723625,48067.140348413246
Queens,12,0.03563868708163269,81910.31900881881
Queens,13,0.03234247196428572,74334.44980900394
Queens,14,0.030203277137755107,69417.822822668
Queens,15,0.035177714298469394,80850.84036874432
Queens,16,0.03381904289540819,77728.132514833
Queens,17,0.028710266492346953,65986.35583375159
Queens,18,0.017929740829081633,41208.89155348309
Queens,19,0.019890931395408165,45716.401736361935
Queens,20,0.020787718362244908,47777.53564873903
Queens,21,0.022621109806122443,51991.318207340744
Staten Island,09,0.010365316031746036,4914.206695966827
Staten Island,10,0.012237373817460316,5801.751164231753
Staten Island,11,0.019282542365079352,9141.872617826486
Staten Island,12,0.03162082083333333,14991.462777904164
Staten Island,13,0.02942558540476189,13950.699465983018
Staten Island,14,0.028356960198412693,13444.063187027656
Staten Island,15,0.031230029507936494,14806.1882197422
Staten Island,16,0.030735197071428556,14571.58766676135
Staten Island,17,0.02568094515079364,12175.361776936415
Staten Island,18,0.018665078690476185,8849.13247223345
Staten Island,19,0.01901478831746032,9014.930156096256
Staten Island,20,0.02130753250793651,10101.922469545207
Staten Island,21,0.021408027976190486,10149.567471539885
