,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away
week,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21
BoroName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,0.012909440357142867,0.015657005150793653,0.02424533384523807,0.01508922112698413,0.01190693445238095,0.01540690340079365,0.02464937888095237,0.03984051447619049,0.03389622572619047,0.03162160732142857,0.03645995646825396,0.03478553828174604,0.029916019007936494,0.020547665321428567,0.022510469765873016,0.023377093761904756,0.024127247749999987,18459.996242540372,22388.906742434043,34669.88183067048,21576.997731963354,17026.451896461116,22031.270993902286,35247.65047398553,56970.38192088783,48470.28083564905,45217.66522695732,52136.3158113009,49741.96310690385,42778.74045660788,29382.360050695315,32189.093856877545,33428.33237286709,34501.02331983773
Brooklyn,0.013008379514285713,0.015686693208571422,0.02479760918285714,0.014974060071428576,0.011872083705714293,0.01501329335142857,0.027356251845714295,0.047992314017142906,0.04356666491714285,0.0428244205342857,0.04728662505714285,0.04614799612285713,0.038010184711428585,0.022035013094285717,0.02374706307142857,0.025220758514285704,0.02826888815142858,33825.88437668986,40790.3436506464,64481.59512232117,38937.2730146368,30871.15734122446,39039.291901119985,71134.87201818857,124795.13402348696,113287.05228402032,111356.98308161112,122960.12043546441,119999.32653820724,98838.45345789842,57297.97507426757,61749.844310581786,65581.91667607483,73508.01389348201
Manhattan,0.015144416734693873,0.01832426198979592,0.026205336061224486,0.016232199908163266,0.014897161688775511,0.02408037302551018,0.061876490755102015,0.11771463185714287,0.10602775270408166,0.09882791180102041,0.10633697935204084,0.1021637474744898,0.07868537020408166,0.027664878357142854,0.03083226221428571,0.032022671280612244,0.034648207505102065,24694.410205508157,29879.44997925128,42730.28995475234,26468.144009251482,24291.237363908906,39265.33585353177,100895.49644281557,191944.89013309788,172888.32342051202,161148.29884318486,173392.54684654102,166587.6958131657,128303.97122792453,45110.21232476535,50274.932605303205,52216.007676809924,56497.1939167819
Queens,0.012324929961734708,0.014323398510204087,0.021223559142857132,0.013904967359693895,0.011521518484693878,0.013476022497448982,0.020913723625,0.03563868708163269,0.03234247196428572,0.030203277137755107,0.035177714298469394,0.03381904289540819,0.028710266492346953,0.017929740829081633,0.019890931395408165,0.020787718362244908,0.022621109806122443,28327.052077272812,32920.240259521604,48779.25205022226,31958.537351021903,26480.528095370115,30972.670211101857,48067.140348413246,81910.31900881881,74334.44980900394,69417.822822668,80850.84036874432,77728.132514833,65986.35583375159,41208.89155348309,45716.401736361935,47777.53564873903,51991.318207340744
Staten Island,0.012873312865079358,0.014677204690476191,0.02349861934920634,0.01293088423809524,0.010365316031746036,0.012237373817460316,0.019282542365079352,0.03162082083333333,0.02942558540476189,0.028356960198412693,0.031230029507936494,0.030735197071428556,0.02568094515079364,0.018665078690476185,0.01901478831746032,0.02130753250793651,0.021408027976190486,6103.250502646989,6958.4774209594525,11140.718932078074,6130.545148165192,4914.206695966827,5801.751164231753,9141.872617826486,14991.462777904164,13950.699465983018,13444.063187027656,14806.1882197422,14571.58766676135,12175.361776936415,8849.13247223345,9014.930156096256,10101.922469545207,10149.567471539885
