value,value,value,value,value,value,value,value,value,value,value,value,value,value,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away,pop_away
9,10,11,12,13,14,15,16,17,18,19,20,21,22,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.010635099,0.026175505,0.088480723,0.183775752,0.171678583,0.175853681,0.164922133,0.157755255,0.11203852,0.032264417,0.023563161,0.044416529,0.045888857,0.018018018,257.0290657,632.6096048,2138.40212,4441.492381,4149.128004,4250.031766,3985.8381,3812.629006,2707.746958,779.7664404,569.474475,1073.458666,1109.041903,62.20849415
0.014462066,0.015149136,0.022253668,0.037370016,0.033258514,0.030446429,0.035171817,0.031233637,0.026065308,0.018637921,0.020631423,0.020685319,0.024181091,0.022535211,949.159863,994.2529636,1460.530503,2452.631529,2182.789504,1998.229572,2308.361531,2049.89483,1710.692201,1223.225384,1354.060904,1357.598171,1587.029212,211.286919
0.013623656,0.016579534,0.023022967,0.036831407,0.034775241,0.030311747,0.038988541,0.036055743,0.032112321,0.017574221,0.018138733,0.01923245,0.021380755,0.021296735,469.0760899,570.8499204,792.703762,1268.142174,1197.346313,1043.663756,1342.41444,1241.435287,1105.659315,605.0979934,624.5347307,662.1924761,736.1607902,104.7525547
0.015254391,0.017192145,0.029264312,0.044045874,0.036850117,0.032703994,0.040386565,0.041122412,0.032008785,0.024097399,0.031604977,0.029411707,0.032321555,0.030092593,492.0914039,554.6014009,944.0374362,1420.875863,1188.747924,1054.998133,1302.83021,1326.567889,1032.571386,777.3579897,1019.544944,948.7922469,1042.661034,138.6795654
0.017406209,0.017415818,0.027571998,0.055631579,0.060380547,0.055280774,0.072870001,0.068907239,0.047689711,0.033362572,0.028143771,0.032309819,0.02977303,0.026651217,291.971757,292.1329311,462.4926921,933.164099,1012.823291,927.2797031,1222.321399,1155.850032,799.9472171,559.6237779,472.0836124,541.9649015,499.4128052,63.86393057
0.009475676,0.014286726,0.023812447,0.044249091,0.043745989,0.046169253,0.043520044,0.044808801,0.039802926,0.024263607,0.029114336,0.034882401,0.044514966,0.035079929,426.4717562,643.0026707,1071.726802,1991.518819,1968.875746,2077.939576,1958.706601,2016.7097,1791.410278,1092.03218,1310.348933,1569.952215,2003.485081,225.5489092
0.011681481,0.012033943,0.019973702,0.033849852,0.038324126,0.037475169,0.03801747,0.040229002,0.03037625,0.02107733,0.022506295,0.022781962,0.028484988,0.025867137,357.3014462,368.0822233,610.93561,1035.36541,1172.220051,1146.252999,1162.840355,1230.48448,929.1183588,644.6922883,688.4000539,696.8318848,871.2703323,113.0283028
0.012220996,0.013954229,0.020633389,0.039215886,0.031275872,0.029726826,0.032064109,0.033185335,0.027981273,0.015227285,0.019651713,0.020244957,0.022755954,0.02178122,403.5372879,460.7686557,681.3145001,1294.908551,1032.729279,981.5798087,1058.756879,1095.779752,923.9416486,502.8049507,648.8995774,668.4884849,751.4015964,102.7451263
0.009846685,0.012172454,0.018114883,0.033865242,0.029548056,0.025089062,0.028556053,0.027147617,0.024244095,0.015425223,0.018679287,0.018825941,0.021429957,0.018218218,894.5417792,1105.830929,1645.682802,3076.555653,2684.352243,2279.266054,2594.231747,2466.279575,2202.503311,1401.335234,1696.95716,1710.280301,1946.84733,236.4386358
0.016054696,0.016243749,0.023134246,0.035577316,0.031345135,0.028181054,0.028742527,0.032344596,0.028741872,0.018868276,0.019089033,0.019570154,0.022215828,0.020997375,1051.614669,1063.998075,1515.339353,2330.385381,2053.169033,1845.915399,1882.693022,2118.635737,1882.650081,1235.909843,1250.36983,1281.884246,1455.181156,196.4814367
0.010068708,0.013426708,0.022026208,0.037621402,0.033035984,0.027658696,0.033567615,0.034407262,0.027170135,0.018793019,0.017812836,0.017957256,0.021364879,0.019167835,441.895463,589.2713419,966.6862104,1651.128072,1449.883247,1213.884863,1473.215506,1510.065908,1192.442866,824.7879991,781.7697589,788.1080513,937.6618096,120.1768489
0.010444485,0.01168368,0.02151301,0.037660002,0.036295998,0.033967108,0.038989507,0.037296956,0.031595097,0.022088249,0.021713787,0.026413093,0.030225646,0.025791624,827.0673998,925.1955908,1703.550712,2982.182567,2874.171205,2689.753415,3087.462091,2953.434089,2501.920924,1749.102151,1719.449617,2091.573584,2393.47823,291.7659042
0.012159144,0.01508831,0.021885902,0.038919579,0.034696159,0.033003575,0.037698156,0.041512,0.03199887,0.020657563,0.019097367,0.026702641,0.025149401,0.024684271,664.7039172,824.8326193,1196.436612,2127.616649,1896.734908,1804.206411,2060.845094,2269.33652,1749.282203,1129.28702,1043.99577,1459.753276,1374.842289,192.7735775
0.009450669,0.015656818,0.033269833,0.0678037,0.057026068,0.050514294,0.058324778,0.058688832,0.052479455,0.031968147,0.037578723,0.032695531,0.033218143,0.021276596,413.6179732,685.2363028,1456.087511,2967.496753,2495.802873,2210.808597,2552.642228,2568.575434,2296.81584,1399.11794,1644.67041,1430.95261,1453.825253,133.0273572
0.011890182,0.020556223,0.029730951,0.056658788,0.045992475,0.032611808,0.033391599,0.03487848,0.027685858,0.013626996,0.016859378,0.013394805,0.016211811,0.017213771,788.8897859,1363.864265,1972.589127,3759.197295,3051.508741,2163.728218,2215.465791,2314.117391,1836.901297,904.1239401,1118.586031,888.7185316,1075.621227,163.1570398
